PC=0000000000000000, REG[ 0]=0000000000000000
PC=0000000000000004, REG[ 1]=0000000000000008
PC=0000000000000008, REG[ 2]=0000000000000010
PC=000000000000000c, REG[ 3]=0000000000000018
PC=0000000000000010, REG[ 4]=0000000000000020
PC=0000000000000014, REG[ 5]=0000000000000028
PC=0000000000000018, REG[ 6]=0000000000000030
PC=000000000000001c, REG[ 7]=0000000000000038
PC=0000000000000020, REG[ 8]=0000000000000040
PC=0000000000000024, REG[ 0]=0000000000000000
PC=0000000000000028, ---
PC=000000000000002c, REG[ 1]=0000000000000000
PC=0000000000000030, ---
PC=0000000000000034, REG[ 2]=0000000000000000
PC=0000000000000038, ---
PC=000000000000003c, REG[ 3]=0000000000000000
PC=0000000000000040, ---
PC=0000000000000044, REG[ 4]=0000000000000000
PC=0000000000000048, ---
PC=000000000000004c, REG[ 5]=0000000000000000
PC=0000000000000050, ---
PC=0000000000000054, REG[ 6]=0000000000000000
PC=0000000000000058, ---
PC=000000000000005c, REG[ 1]=0000000000000000
PC=0000000000000060, ---
PC=0000000000000064, REG[ 8]=0000000000000e00
PC=0000000000000068, ---
PC=000000000000006c, ---
PC=0000000000000070, ---
PC=0000000000000074, ---
PC=0000000000000078, ---
PC=000000000000007c, ---
PC=0000000000000080, ---
PC=0000000000000084, ---
PC=0000000000000088, ---
PC=000000000000008c, ---
PC=0000000000000090, ---
PC=0000000000000094, ---
PC=0000000000000098, ---
PC=000000000000009c, ---
PC=00000000000000a0, ---
PC=00000000000000a4, ---
PC=00000000000000a8, ---
PC=00000000000000ac, ---
PC=00000000000000b0, ---
